Sex,Age,Height,Weight,Team,Season,Sport,Event,ponderal_index,mass_index,surface_area,lean_body_mass,basal_metabolic_rate,estimated_energy_requirements
M,23,178,60.0,Pakistan,Summer,Athletics,Athletics Men's 200 metres,10.638765676221222,18.93700290367378,1.752407514248271,52.745999999999995,1626.784,2816.1059999999998
M,19,175,67.0,Malaysia,Summer,Athletics,Athletics Men's 100 metres,12.501457725947521,21.877551020408163,1.8140560437799143,54.794,1735.025,3002.8656
M,19,175,67.0,Malaysia,Summer,Athletics,Athletics Men's 200 metres,12.501457725947521,21.877551020408163,1.8140560437799143,54.794,1735.025,3002.8656
M,26,181,73.0,Libya,Summer,Athletics,Athletics Men's 200 metres,12.310824368214394,22.282592106468055,1.9279488430981626,58.83800000000001,1800.2930000000001,3109.8124000000003
M,26,181,73.0,Libya,Summer,Athletics,Athletics Men's 400 metres,12.310824368214394,22.282592106468055,1.9279488430981626,58.83800000000001,1800.2930000000001,3109.8124000000003
M,23,169,65.0,Maldives,Summer,Athletics,Athletics Men's 100 metres,13.46645371714522,22.758306781975424,1.7461130617441256,52.378,1650.507,2885.276
M,20,175,65.0,South Yemen,Summer,Athletics,Athletics Men's 100 metres,12.128279883381925,21.224489795918366,1.7908412344206386,53.980000000000004,1700.775,2946.242
M,21,174,65.0,Togo,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.338592231166754,21.469150482230148,1.7834161914467122,53.71300000000001,1689.022,2931.3160000000003
M,27,180,87.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,14.917695473251026,26.85185185185185,2.0688765269602274,64.26899999999999,1981.04,3424.5416000000005
M,25,178,68.0,Italy,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,12.057267766384053,21.461936624163616,1.8481495599975244,56.001999999999995,1723.284,2985.4204
M,29,178,68.0,Italy,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,12.057267766384053,21.461936624163616,1.8481495599975244,56.001999999999995,1696.284,2947.3004
M,20,180,62.0,Canada,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,10.63100137174211,19.1358024691358,1.7914527494423929,54.093999999999994,1684.54,2902.5816
